"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"13.06.2023 00:58:13"
"Gesucht nach";"LB 2111"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"2"              
"Anzahl gefundener Vorkommen";"12"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Viano 2016 The Reception of Sumerian Literature in the Western Periphery Antichistica.pdf";"";"53";"two OB sources: LB 2111 = TLB 2 3 (A) a single-column "
"Viano 2016 The Reception of Sumerian Literature in the Western Periphery Antichistica.pdf";"";"417";"344, 355, 358 LB 2111 = TLB 2 3 52 LB 2112 = TLB "
"Viano 2016 The Reception of Sumerian Literature in the Western Periphery Antichistica.pdf";"";"422";"2 3 = LB 2111 52 TLB 2 5 = LB 2112 257, 337 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"40";"Babylon I-Dynastie LB 2111 Städteklagen A 7569; AO 6446; Ash 1932-415; Ash "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"58";"3] „73“ LB 2111 29 mu-be2-em „29 sind ihre Zeilen.“ "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"69";".še3. LB 2111 Vs. 20 ugnim-ne2 mi-ni-šubub Ni 4194 "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"134";"mu-da- (LB 2111 Vs. 10’) Zweitens gibt es Glossen, in denen lexikalische "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"263";"Kasusendung -/’a/. LB 2111 Publikation: TLB 2 3 .ammurapi Hymnenfragment Herkunft: unbekannt ETCSL "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"336";"ak [loben] LB 2111 Vs. 10 ar3 [mahlen] HS 1513 Rs. ii "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"354";"8320 Rs. 3’ LB 2111 Rs. 5 MAH 16014 Vs. 12 UET 6/2 "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"369";"8548 Vs. 12 LB 2111 Vs. 10 [Lobgesang singen] HS 1457+ Vs. 13 "
"Sövegjártó 2020 Sumerische Glossenhandschriften als Quellen des altbabylonischen hermeneutischen Denkens dubsar 18.pdf";"Microsoft Word - dubsar-18-Sövegjarto-ZAPHON";"401";"Korpus CDLI Nr. LB 2111 TLB 2 3 unbekannt S W [ETCSL 2.8.2."
