"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:44:10"
"Gesucht nach";"LB 912"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"12"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"and side 2, LB 912 side 1. Vague or dubious traces appear on LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"RB 4 21x13 LB 912 RB 6 31x16 RB 4 t 24x23 RB 3 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"side 1 and LB 912 edge 1; doubtful: LB 898 side 1; also H. "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"28";"ground line (LB 912 side 1); another line terminates the scene above.25 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"28";"be deduced from LB 912 25 A notable comparandum is one of the hoard "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"32";"(see especially LB 912 top, AO 21424 top, AO 21425 top, AO 29966 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"32";"line (see LB 912 top; cf. LB 913 top). The maximum attested width "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"33";"21425 top and LB 912 top"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"58";"4 low high LB 912 RB 6 low high RB 4 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"910 side 1 LB 912 side 2, edge 1 LB 913 side 2, edge "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"2, edge 2 LB 912 side 1, edge 2 LB 913 side E 1, "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 909 top LB 912 top LB 913 top YBC 9900 top RB 7 "
