"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"14.06.2023 04:30:09"
"Gesucht nach";"LB 2776"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"8"              
"Anzahl gefundener Vorkommen";"32"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Fs Bergerhof AOAT 232.pdf";"";"219";"and H (LB 2776)5 - there appears to have been a standard "
"Fs Bergerhof AOAT 232.pdf";"";"220";") H = LB 2776 i/ii,v/vi [I = RS 20.32:"
"Fs Bergerhof AOAT 232.pdf";"";"226";"Source 441 Since LB 2776 (text H) follows the Ugarit division (20-"
"Fs Bergerhof AOAT 232.pdf";"";"227";"83f.). Thus, if LB 2776 comes from Ugarit, it is likely to have been "
"Fs Bergerhof AOAT 232.pdf";"";"227";"II 1 15 LB 2776, obverse "
"Fs Bergerhof AOAT 232.pdf";"";"228";"V 10 15 LB 2776, reverse LB 2776, obverse "
"Fs Bergerhof AOAT 232.pdf";"";"228";"LB 2776, reverse LB 2776, obverse "
"Fs Bergerhof AOAT 232.pdf";"";"229";"H. van Soldt LB 2776, reverse Flüche und Fluchformeln als Quelle für die altorientalische "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Sommerfeld1993.pdf";"";"1";"H. van Soldt LB 2776, reverse Flüche und Fluchformeln als Quelle für die altori."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Rutz 2013 Bodies of Knowledge in Ancient Mesopotamia. The Diviners of Late Bronze Age Emar and their Tablet Collection AMD 9.pdf";"";"220";"antiquities market (LB 2776), has been published by van Soldt (1993). The "
"Rutz 2013 Bodies of Knowledge in Ancient Mesopotamia. The Diviners of Late Bronze Age Emar and their Tablet Collection AMD 9.pdf";"";"220";"the provenience of LB 2776 is not a central concern. In his edition van "
"Rutz 2013 Bodies of Knowledge in Ancient Mesopotamia. The Diviners of Late Bronze Age Emar and their Tablet Collection AMD 9.pdf";"";"220";"in Emar. If LB 2776 were from Emar, it would be unique as an "
"Rutz 2013 Bodies of Knowledge in Ancient Mesopotamia. The Diviners of Late Bronze Age Emar and their Tablet Collection AMD 9.pdf";"";"220";"The script of LB 2776 is consistent with the Syro-Hittite tradition in Emar, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Gantzert 2008 The Emar Lexical Texts PhD.pdf";"";"317";"as H (LB 2776) in W.H. van Soldt, ‘The Ugarit Version "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
