"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"23.05.2023 00:41:31"
"Gesucht nach";"A 3113"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"4"              
"Anzahl gefundener Vorkommen";"9"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"54";"Nr. 15) 1982.A.3113 (Nr. 55) 1982.A.3114 (Nr. 63) "
"IRAQ59.pdf";"";"54";"Nr. 55 1982.A.3113 NI. 14 1982.A.1750 Nr.35 1982.A."
"IRAQ59.pdf";"";"72";"Nr.55 1982.A.3113 5,5 x4,5 cm 1 [ ... ] an-rxxx' "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"4241558.pdf";"The God Ningizzida";"31";"Dyn. 11 V.A. 3113; Messerschmidt, Berliner Museen, xxx (1909), cols. 127-8, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"Nr. 15) 1982.A.3113 (Nr. 55) 1982.A.3114 (Nr. 63) "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"55 1982.1982A. A.3113 Nr. 14 14 1982.A1750 A.1750 Nr. 35 "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"40";"Nr. 55 1982.A.3113 5,5 ? 4,5 cm 1 [...]an-rxxxM?.] [..."
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"40";"Nr.55 1982.A.3113 5,5 x4,5 cm 1 [ ... ] an-fxxx' "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Cambridge_History_Literary_Criticism_2_Middle-Ages_Minnis-Johnson.pdf";"";"451";"everichon’ (I(A), 3113) who admire the Knight’s Tale as ‘a noble "
