"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"09.06.2023 22:30:12"
"Gesucht nach";"A 802"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"15"             
"Anzahl gefundener Vorkommen";"21"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"indices.PDF";"";"3";"S. 170 Geiger, A. 802, 812, 814-816 Gelb, I.j. 102, 230 Geller, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"4241576.pdf";"Excavations at Tall Arpachiyah, 1933";"214";"79, No. 6, A 802. Ht. 0-072 m. Pan with solid ledge handles, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"4241610.pdf";"The Excavations at Tall Chagar Bazar and an Archaeological Survey of the Habur Region. Second Campaign, 1936";"45";"A. No. 25. A 802. Bone pin, circular section, perforated top. Length 5-5 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 75 2006.pdf";"";"144";"M.: 717 Schachner, A.: 802 Schart, A.: 574 Schmidt, K.St.: 1168 Schmitt, 0.: "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 63 1994.pdf";"";"61";"B.: 232 TModorides, A.: 802 Tischler, J.: 219, 533 Tokumaru I.: 975 Tov, E.: "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 63 1994 [2].pdf";"";"61";"B.: 232 Thoodorides, A.: 802 Tischler, J.: 219, 533 Tokumaru I.: 975 Tov, E.: "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"389";"sir-sirra: II A:802 Austausch von-: dba-ba6 [161] Geschichte / "
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"427";"PN (?)): II A:802 nin-e-unuki_ga-nir-gal (PN): II "
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"444";"1-9: II A:802 DP 79: dba-ba6 [33] DP 93 "
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"453";"[2]; II A:802 Urn. 24 iv 5-v 2: d}ugal-uru "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Puerta Vílchez 2017 Aesthetics in Arabic Thought. From Pre-Islamic Arabia through al-Andalus HdO 120.pdf";"";"386";"() . . À 802 Ibid. 196."
"Puerta Vílchez 2017 Aesthetics in Arabic Thought. From Pre-Islamic Arabia through al-Andalus HdO 120.pdf";"";"942";"1840) 458 Rimbaud, A. 802 riqqa (delicacy) 523 rites 42, 176 Ritter, H. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"145";"585, 586, 590 A, 802 I J, 803 C, 805 A, 807 A, 852, "
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"147";". . . A 802 a 812 . . . A 813 i 831 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Attinger 2021 Glossaire sumérien–français principalement des textes littéraires paléobabyloniens Glossaire.pdf";"Glossaire sumérien-français";"158";"from Adab 332, A 802:14, 355, A 938:4 et MVN 7, 196 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Cambridge Ancient History 3.2. Assyrian and Babylonian Empires 8-6th c.pdf";"";"250";"791, 149. "" A 802, 22; A 882. 1 2 A 938, 336 ("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Kleine Pauly.pdf";"";"539";"RADKE, RE IX A 802; vgl. Plin. nat. 3,60) auf: Ausoner und Opiker, die "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 53 1993.pdf";"";"52";"B.: 232 Thhdoridb, A.: 802 Tischler, J.: 219, 533 Tokumaru 1.: 975 Tov, E.: "
"KeiBi 53 1993.pdf";"";"52";"B.: 232 TModorides, A.: 802 Tischler, J.: 219, 533 Tokumaru 1.: 975 Tov, E.: "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 64 2005.pdf";"";"48";"L.: 494 Schachner, A.: 802 Such-Gutikrez, M.: 748 Schart, A.: 574 Sweeney, M."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Wattenmaker 1990 The social context of specialized production- Reorganization of household craft and food economies in an early Near Eastern state PhD.pdf";"";"80";"scale 2:5) A) 802-03-018. Black paste, evenly fired with fine grit "
