"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 16:08:27"
"Gesucht nach";"A 1755"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"9"              
"Anzahl gefundener Vorkommen";"23"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"53";"Nr. 32) 1982.A.1755 (Nr. 4) 1982.A.1756 (Nr. 19) "
"IRAQ59.pdf";"";"54";"Nr.4 1982.A.1755 Nr.25 I 982.A.l 774 Nr.46 "
"IRAQ59.pdf";"";"56";"Nr.4 1982.A.1755 (mindestens etwa 4 Zeilen abgebrochen) l' [x] "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ZA 107 2017.pdf";"";"95";"uns gekommne Tafel A 1755 b (WVDOG 146, 117b) in den Band aufgenommen. "
"ZA 107 2017.pdf";"";"105";"114 – – A 1755 a 117a – – A 1755 b 117b M "
"ZA 107 2017.pdf";"";"105";"117a – – A 1755 b 117b M 7 ? – A 1756 113 "
"ZA 107 2017.pdf";"";"107";"14842 ax* 41 A 1755 a – 117a A 1755 b – 117b A "
"ZA 107 2017.pdf";"";"107";"a – 117a A 1755 b – 117b A 1756 – 113 A 1762 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 51 1982.pdf";"";"341";"W.: 868 Hesse A.: 1755 Heubeck A.: 741 Heubeck E.: 749 Heyer R.: 445 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"4";"uns gekommne Tafel A 1755 b (WVDOG 146, 117b) in den Band aufgenommen. "
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"14";"114 – – A 1755 a 117a – – A 1755 b 117b M "
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"14";"117a – – A 1755 b 117b M 7 ? – A 1756 113 "
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"16";"14842 ax* 41 A 1755 a – 117a A 1755 b – 117b A "
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"16";"a – 117a A 1755 b – 117b A 1756 – 113 A 1762 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"698";"der Zeichenunterscheidung 234, A 1755 Logogrammdoppelschreibung: als Imitation sprachwirklicher Reduplikation (h.-luw.) 331 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
