"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"29.05.2023 02:02:18"
"Gesucht nach";"A 4509"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"18"             
"Anzahl gefundener Vorkommen";"40"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"[CAD S] Charpin 1993 Campte rendu du CAD volume S (1984) [Rv CAD S] AfO 40-41.pdf";"";"2";"7 p. 201 A,4509: 7. Ce sens convient aussi au passage suivant: ana "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MARI3.pdf";"";"30";"Samsi-Adad (= A. 4509), les malédictions contre qui tenterait d'enlever une arme placée "
"MARI3.pdf";"";"32";"211-214. 12. A. 4509 (salle 135); 1O,5x 6,5 x 3 cm. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MARI5.pdf";"";"315";"(Sumu-Yamam), A. 4509 (Kupper, 1973: 166 n. 2 [Samsi-Adad, "
"MARI5.pdf";"";"368";"ARM XXVI]: 3.168 A.4509 (Inscription 00 2): 3.44 sq. A.4510 ("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MARI7.pdf";"";"123";"convient-il en A.4509 : 7: a·na ba-za-ha-at "
"MARI7.pdf";"";"236";"A.4446: 255 A.4509: 201 A.4687: 181-182 M.5235: 368 M."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AfO 40-41 1993.pdf";"";"6";"7 p. 201 A,4509: 7. Ce sens convient aussi au passage suivant: ana "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Goodnick Westenholz 1997 Legends of the Kings of Akkade MC 7.pdf";"";"8";"SamSi- dad in A.4509 (D. Charpin, ""Inscriptions votives d'Cpoque assyrienne,"" MARI "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Holloway 2002 Assur is king Assur is king Religion in the Exercise of Power in the Neo-Assyrian Empire CHANE 10.pdf";"117289.pdf";"341";"A.0.39.6 (A 4509 [Paris]), and a broken text describing twin objects "
