"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"23.05.2023 00:54:10"
"Gesucht nach";"A 3114"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"4"              
"Anzahl gefundener Vorkommen";"16"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"54";"Nr. 55) 1982.A.3114 (Nr. 63) A197107 A197108 A197109 A197110 A197111 A197112 "
"IRAQ59.pdf";"";"54";"Nr.63 1982.A.3114 Inhaltsverzeichnis Das Material wird nach den Herkunftsorten und Archiven "
"IRAQ59.pdf";"";"73";"Nr.63 1982.A.3114 Unter dieser Nummer finden sich stark beschädigte Fragmente mindestens "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"Nr. 55) 1982.A.3114 (Nr. 63) AI97107 AI97108 AI97109 AI97110 A197111 AI97112 "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"(Nr. 55) A.3114 (Nr. 63) Glendining Glendining 12-12-13/13/"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"63 1982.A. A.3114 Inhaltsverzeichnis Inhaltsverzeichnis Das Material wird nach den Herkunftsorten und "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"42";"Nr.63 1982.A. 3114 Unter dieser Nummer finden sich stark beschädigte Fragmente mindestens "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"42";"Nr. 63 1982.A.3114 dieser Nummer finden sich stark besch?digte Fragmente mindestens "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"47";"sq. 36 [A.3114] 1) La surface des terres du Palais ensemencées a "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"48";"Hammû 36 [A.3114] "" 1 , 1 l, 1 : i 26 "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"155";"8334 M.5560 A.3114 A.3117+M.60 13 A,4392 M.7917 "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"157";"A.3091 100 A.3114 63 A.3117+M.6013 86 A.3130 107 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"47";"sq. 36 [A.3114] 1) La surface des terres du Palais ensemencées a "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"48";"Hammû 36 [A.3114] "" 1 , 1 l, 1 : i 26 "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"155";"8334 M.5560 A.3114 A.3117+M.60 13 A,4392 M.7917 "
"ARM 27 Birot 1993 Correspondance des Foverneurs de Qattunan.pdf";"";"157";"A.3091 100 A.3114 63 A.3117+M.6013 86 A.3130 107 "
